#{"env_id": "SeaquestNoFrameskip-v4", "t_start": 1522188182.4627142}
r,l,t
140.0,531,7.589522
40.0,397,46.919493
60.0,493,115.756045
160.0,638,206.049473
60.0,461,270.161395
